travelKmPerDay,transportMode,carpool,electricityUnits,acUsage,renewableEnergy,meatMealsPerWeek,dairyLitersPerDay,localFood,wasteKgPerWeek,recycle,waterUsageLiters,shoppingFreq,onlineOrders,carbonFootprint_kg_per_month
37.454011884736246,metro,no,230.55064907036683,occasionally,no,4.3026318025272845,2.38008003671004,yes,13.318992281528919,yes,224.25586536416378,13.897554127717783,17.262217170469267,743.0837847339012
95.07143064099162,metro,yes,469.8085628829011,occasionally,yes,9.87976463496965,1.4651084608645528,no,11.18001136935327,yes,303.2602349841136,7.93125800851219,24.62794115397524,580.2940659538754
73.1993941811405,bike,no,560.9564994971462,daily,no,20.581946991044777,0.42638111074762974,no,12.364334062372379,yes,249.142733231861,11.262817379038328,8.684205576730552,1034.826969340494
59.86584841970366,metro,no,142.60005382969044,daily,yes,4.101030171336201,2.653506243679478,no,26.924028806252622,no,316.94667833108326,10.877154193717196,25.132422725894664,693.9570254703902
15.601864044243651,walk,no,556.7186257331654,never,yes,13.3653455848239,1.0159858387094176,no,14.565669557756733,no,275.79162801584835,15.19212690535888,20.307565581440347,735.1418208752406
15.599452033620265,metro,yes,319.25670524789683,daily,no,12.087552724102704,2.0965776915896823,yes,7.355984207319205,yes,193.01646803079035,17.138232940405903,29.617393222285067,1101.9523536306497
5.8083612168199465,walk,no,392.45188486850793,never,no,11.86608331209847,0.8717824814988222,no,49.731395925286606,yes,114.53719915445546,13.257718885661996,24.741340904659967,915.3910419718906
86.61761457749351,metro,no,279.3181290632812,occasionally,yes,12.917589082683959,1.5002137520213998,yes,45.021661372070504,yes,163.70278763957475,19.59617603848092,6.045013922789542,864.1421778158486
60.11150117432088,walk,yes,931.4103277930599,occasionally,yes,10.54699744745279,2.4487581345912464,yes,31.750621874653984,yes,140.32096335256995,16.56576785048999,13.47012178822526,829.6996862325236
70.80725777960456,metro,yes,683.3362812802138,daily,yes,0.355545755410818,0.4703320392731031,no,44.5771436961973,no,368.34003216081976,2.4929349783385013,3.105253944078247,498.823814737387
2.0584494295802447,metro,yes,262.4603114006834,daily,no,18.902033040725474,2.931754185717835,no,46.77313687539094,no,418.9850799855714,10.149507967723423,2.0901170043967277,969.7344200785403
96.99098521619943,bus,yes,645.0313345519502,never,no,17.366555377164648,0.2106477685821786,yes,33.80541459329178,yes,374.17487238474155,18.064721573875403,21.18162722613516,1247.365078915041
83.24426408004217,walk,yes,848.5724095820461,daily,no,3.657521299343548,1.6020267292215122,no,25.93398893456541,yes,339.68036614782125,18.878697374624277,27.387954143220313,1475.9891000624082
21.233911067827616,walk,no,401.63020833276863,daily,no,8.67873672495625,2.748076558055844,yes,44.10008961073386,no,188.53310921619632,7.604118768647961,29.207265500257556,1059.6373390585945
18.182496720710063,walk,yes,829.9575091561823,daily,yes,16.181528594564927,2.837081654647576,no,28.389849845645475,yes,369.9435015979301,14.514081230330492,8.113990626865993,977.9433813050448
18.34045098534338,car,yes,154.41494433999236,occasionally,no,20.581308623132973,0.696326888639328,no,6.3400271426937,yes,322.2875569951159,8.210909672847567,6.053140255779766,662.9434253463193
30.42422429595377,metro,yes,822.781364866168,daily,yes,19.973877975277514,0.4319549436444259,no,18.342800022875288,no,71.10201500943155,2.4731944435886377,16.806596611836902,672.2040792205978
52.475643163223786,walk,yes,540.2942426723664,daily,no,18.886543193199657,2.1732090009536726,no,22.296047586768854,yes,458.425453277037,17.692226098448366,6.025802192404739,1273.7110183208163
43.194501864211574,car,yes,222.9744880099821,occasionally,no,3.3258518432819324,0.12592070482871132,yes,46.768450806779775,no,85.97922849573767,18.639062454246154,8.877212702046558,910.1151656489143
29.122914019804192,bus,yes,407.14138455591143,occasionally,no,19.203977226189103,1.4557169070909428,no,32.95927361529112,yes,276.21855687147746,10.095010625316132,25.11678990235335,1009.6527399449918
61.18528947223795,walk,yes,987.9929924466168,occasionally,yes,18.44734317197267,2.389065680379546,no,43.763878139794535,yes,280.8811187235791,0.3661486164028749,24.313885694301185,728.8325593131747
13.949386065204184,walk,yes,783.5560166424261,occasionally,yes,7.91594813449418,1.6807641735505017,no,37.87958504199681,no,426.65323494127176,16.320725013925195,26.852198250106277,914.9876830903112
29.214464853521815,car,no,575.0863613851153,daily,no,8.284974485261502,0.564039797322015,yes,15.493044326134148,no,460.88037546906486,9.539207324615816,14.467305447853922,1227.059518663474
